face_id,face_gender,face_age,rater_id,rater_gender,rater_age,trait,rating
mike,male,24,R0002,male,31.6,att,6
mikulas,male,27,R0002,male,31.6,att,6
milos,male,23,R0002,male,31.6,att,5
miroslav,male,22,R0002,male,31.6,att,3
miroslav1,male,27,R0002,male,31.6,att,2
mojmir,male,20,R0002,male,31.6,att,4
oldrich,male,31,R0002,male,31.6,att,3
oleg,male,30,R0002,male,31.6,att,4
patrik,male,26,R0002,male,31.6,att,5
petrb,male,27,R0002,male,31.6,att,5
pravoslav,male,26,R0002,male,31.6,att,3
rehor,male,20,R0002,male,31.6,att,4
robin,male,18,R0002,male,31.6,att,4
rudolf,male,22,R0002,male,31.6,att,5
slavomir,male,28,R0002,male,31.6,att,5
stefan,male,22,R0002,male,31.6,att,2
svatopluk,male,21,R0002,male,31.6,att,6
tomas,male,22,R0002,male,31.6,att,3
tomasi,male,19,R0002,male,31.6,att,3
vincent,male,18,R0002,male,31.6,att,2
vladislav,male,20,R0002,male,31.6,att,5
vlastimil,male,23,R0002,male,31.6,att,5
alex,male,20,R0003,male,31.3,att,3
alexander,male,20,R0003,male,31.3,att,3
alfred,male,30,R0003,male,31.3,att,2
ambroz,male,29,R0003,male,31.3,att,2
arnold,male,26,R0003,male,31.3,att,2
arpad,male,26,R0003,male,31.3,att,4
bedrich,male,19,R0003,male,31.3,att,2
blazej,male,22,R0003,male,31.3,att,3
bretislav,male,30,R0003,male,31.3,att,4
cestmir,male,27,R0003,male,31.3,att,3
ctirad,male,25,R0003,male,31.3,att,3
dalimil,male,26,R0003,male,31.3,att,2
david,male,23,R0003,male,31.3,att,3
frederik,male,32,R0003,male,31.3,att,3
gabriel,male,24,R0003,male,31.3,att,3
herbert,male,23,R0003,male,31.3,att,4
herman,male,33,R0003,male,31.3,att,1
hynek,male,25,R0003,male,31.3,att,3
igor,male,23,R0003,male,31.3,att,2
ivan,male,27,R0003,male,31.3,att,4
ivan2,male,27,R0003,male,31.3,att,2
jan,male,23,R0003,male,31.3,att,2
josef,male,20,R0003,male,31.3,att,3
justin,male,19,R0003,male,31.3,att,5
kamil,male,22,R0003,male,31.3,att,3
kazimir,male,23,R0003,male,31.3,att,2
kristian,male,32,R0003,male,31.3,att,3
lumir,male,20,R0003,male,31.3,att,4
mike,male,24,R0003,male,31.3,att,3
mikulas,male,27,R0003,male,31.3,att,3
milos,male,23,R0003,male,31.3,att,4
miroslav,male,22,R0003,male,31.3,att,2
miroslav1,male,27,R0003,male,31.3,att,2
mojmir,male,20,R0003,male,31.3,att,2
oldrich,male,31,R0003,male,31.3,att,2
oleg,male,30,R0003,male,31.3,att,2
patrik,male,26,R0003,male,31.3,att,2
petrb,male,27,R0003,male,31.3,att,3
pravoslav,male,26,R0003,male,31.3,att,1
rehor,male,20,R0003,male,31.3,att,3
robin,male,18,R0003,male,31.3,att,1
rudolf,male,22,R0003,male,31.3,att,3
slavomir,male,28,R0003,male,31.3,att,2
stefan,male,22,R0003,male,31.3,att,1
svatopluk,male,21,R0003,male,31.3,att,3
tomas,male,22,R0003,male,31.3,att,1
tomasi,male,19,R0003,male,31.3,att,1
vincent,male,18,R0003,male,31.3,att,2
vladislav,male,20,R0003,male,31.3,att,3
vlastimil,male,23,R0003,male,31.3,att,4
alex,male,20,R0004,male,19.4,att,2
alexander,male,20,R0004,male,19.4,att,3
alfred,male,30,R0004,male,19.4,att,3
ambroz,male,29,R0004,male,19.4,att,2
arnold,male,26,R0004,male,19.4,att,2
arpad,male,26,R0004,male,19.4,att,2
bedrich,male,19,R0004,male,19.4,att,1
blazej,male,22,R0004,male,19.4,att,5
bretislav,male,30,R0004,male,19.4,att,2
cestmir,male,27,R0004,male,19.4,att,3
ctirad,male,25,R0004,male,19.4,att,5
dalimil,male,26,R0004,male,19.4,att,1
david,male,23,R0004,male,19.4,att,4
frederik,male,32,R0004,male,19.4,att,3
gabriel,male,24,R0004,male,19.4,att,4
herbert,male,23,R0004,male,19.4,att,3
herman,male,33,R0004,male,19.4,att,1
hynek,male,25,R0004,male,19.4,att,2
igor,male,23,R0004,male,19.4,att,2
ivan,male,27,R0004,male,19.4,att,2
ivan2,male,27,R0004,male,19.4,att,1
jan,male,23,R0004,male,19.4,att,2
josef,male,20,R0004,male,19.4,att,1
justin,male,19,R0004,male,19.4,att,4
kamil,male,22,R0004,male,19.4,att,1
kazimir,male,23,R0004,male,19.4,att,1
kristian,male,32,R0004,male,19.4,att,1
lumir,male,20,R0004,male,19.4,att,4
mike,male,24,R0004,male,19.4,att,3
mikulas,male,27,R0004,male,19.4,att,2
milos,male,23,R0004,male,19.4,att,3
miroslav,male,22,R0004,male,19.4,att,1
miroslav1,male,27,R0004,male,19.4,att,1
mojmir,male,20,R0004,male,19.4,att,2
oldrich,male,31,R0004,male,19.4,att,1
oleg,male,30,R0004,male,19.4,att,2
patrik,male,26,R0004,male,19.4,att,1
petrb,male,27,R0004,male,19.4,att,2
pravoslav,male,26,R0004,male,19.4,att,1
rehor,male,20,R0004,male,19.4,att,2
robin,male,18,R0004,male,19.4,att,1
rudolf,male,22,R0004,male,19.4,att,2
slavomir,male,28,R0004,male,19.4,att,3
stefan,male,22,R0004,male,19.4,att,1
svatopluk,male,21,R0004,male,19.4,att,2
tomas,male,22,R0004,male,19.4,att,2
tomasi,male,19,R0004,male,19.4,att,2
vincent,male,18,R0004,male,19.4,att,1
vladislav,male,20,R0004,male,19.4,att,2
vlastimil,male,23,R0004,male,19.4,att,2
alex,male,20,R0005,male,19.2,att,3
alexander,male,20,R0005,male,19.2,att,3
alfred,male,30,R0005,male,19.2,att,2
ambroz,male,29,R0005,male,19.2,att,3
arnold,male,26,R0005,male,19.2,att,3
arpad,male,26,R0005,male,19.2,att,3
bedrich,male,19,R0005,male,19.2,att,3
blazej,male,22,R0005,male,19.2,att,5
bretislav,male,30,R0005,male,19.2,att,4
cestmir,male,27,R0005,male,19.2,att,3
ctirad,male,25,R0005,male,19.2,att,2
dalimil,male,26,R0005,male,19.2,att,4
david,male,23,R0005,male,19.2,att,7
frederik,male,32,R0005,male,19.2,att,4
gabriel,male,24,R0005,male,19.2,att,4
herbert,male,23,R0005,male,19.2,att,3
herman,male,33,R0005,male,19.2,att,3
hynek,male,25,R0005,male,19.2,att,3
igor,male,23,R0005,male,19.2,att,3
ivan,male,27,R0005,male,19.2,att,3
ivan2,male,27,R0005,male,19.2,att,3
jan,male,23,R0005,male,19.2,att,4
josef,male,20,R0005,male,19.2,att,4
justin,male,19,R0005,male,19.2,att,3
kamil,male,22,R0005,male,19.2,att,2
kazimir,male,23,R0005,male,19.2,att,2
kristian,male,32,R0005,male,19.2,att,2
lumir,male,20,R0005,male,19.2,att,4
mike,male,24,R0005,male,19.2,att,6
mikulas,male,27,R0005,male,19.2,att,4
milos,male,23,R0005,male,19.2,att,3
miroslav,male,22,R0005,male,19.2,att,2
miroslav1,male,27,R0005,male,19.2,att,3
mojmir,male,20,R0005,male,19.2,att,2
oldrich,male,31,R0005,male,19.2,att,3
oleg,male,30,R0005,male,19.2,att,4
patrik,male,26,R0005,male,19.2,att,5
petrb,male,27,R0005,male,19.2,att,4
pravoslav,male,26,R0005,male,19.2,att,1
rehor,male,20,R0005,male,19.2,att,5
robin,male,18,R0005,male,19.2,att,1
rudolf,male,22,R0005,male,19.2,att,3
slavomir,male,28,R0005,male,19.2,att,3
stefan,male,22,R0005,male,19.2,att,3
svatopluk,male,21,R0005,male,19.2,att,3
tomas,male,22,R0005,male,19.2,att,3
tomasi,male,19,R0005,male,19.2,att,2
vincent,male,18,R0005,male,19.2,att,1
vladislav,male,20,R0005,male,19.2,att,2
vlastimil,male,23,R0005,male,19.2,att,5
alex,male,20,R0006,male,21.1,att,2
alexander,male,20,R0006,male,21.1,att,4
alfred,male,30,R0006,male,21.1,att,2
ambroz,male,29,R0006,male,21.1,att,1
arnold,male,26,R0006,male,21.1,att,3
arpad,male,26,R0006,male,21.1,att,1
bedrich,male,19,R0006,male,21.1,att,2
blazej,male,22,R0006,male,21.1,att,3
bretislav,male,30,R0006,male,21.1,att,5
cestmir,male,27,R0006,male,21.1,att,2
ctirad,male,25,R0006,male,21.1,att,5
dalimil,male,26,R0006,male,21.1,att,1
david,male,23,R0006,male,21.1,att,4
frederik,male,32,R0006,male,21.1,att,2
gabriel,male,24,R0006,male,21.1,att,3
herbert,male,23,R0006,male,21.1,att,3
herman,male,33,R0006,male,21.1,att,2
hynek,male,25,R0006,male,21.1,att,1
igor,male,23,R0006,male,21.1,att,4
ivan,male,27,R0006,male,21.1,att,2
ivan2,male,27,R0006,male,21.1,att,2
jan,male,23,R0006,male,21.1,att,4
josef,male,20,R0006,male,21.1,att,5
justin,male,19,R0006,male,21.1,att,2
kamil,male,22,R0006,male,21.1,att,3
kazimir,male,23,R0006,male,21.1,att,2
kristian,male,32,R0006,male,21.1,att,1
lumir,male,20,R0006,male,21.1,att,3
mike,male,24,R0006,male,21.1,att,2
mikulas,male,27,R0006,male,21.1,att,3
milos,male,23,R0006,male,21.1,att,2
miroslav,male,22,R0006,male,21.1,att,4
miroslav1,male,27,R0006,male,21.1,att,5
mojmir,male,20,R0006,male,21.1,att,1
oldrich,male,31,R0006,male,21.1,att,2
oleg,male,30,R0006,male,21.1,att,2
patrik,male,26,R0006,male,21.1,att,1
petrb,male,27,R0006,male,21.1,att,5
pravoslav,male,26,R0006,male,21.1,att,3
rehor,male,20,R0006,male,21.1,att,2
robin,male,18,R0006,male,21.1,att,2
rudolf,male,22,R0006,male,21.1,att,1
slavomir,male,28,R0006,male,21.1,att,2
stefan,male,22,R0006,male,21.1,att,1
svatopluk,male,21,R0006,male,21.1,att,2
tomas,male,22,R0006,male,21.1,att,2
tomasi,male,19,R0006,male,21.1,att,5
vincent,male,18,R0006,male,21.1,att,1
vladislav,male,20,R0006,male,21.1,att,4
vlastimil,male,23,R0006,male,21.1,att,2
alex,male,20,R0007,male,22,att,2
alexander,male,20,R0007,male,22,att,2
alfred,male,30,R0007,male,22,att,3
ambroz,male,29,R0007,male,22,att,1
arnold,male,26,R0007,male,22,att,1
arpad,male,26,R0007,male,22,att,3
bedrich,male,19,R0007,male,22,att,1
blazej,male,22,R0007,male,22,att,3
bretislav,male,30,R0007,male,22,att,3
cestmir,male,27,R0007,male,22,att,1
ctirad,male,25,R0007,male,22,att,1
dalimil,male,26,R0007,male,22,att,1
david,male,23,R0007,male,22,att,2
frederik,male,32,R0007,male,22,att,1
gabriel,male,24,R0007,male,22,att,1
herbert,male,23,R0007,male,22,att,2
herman,male,33,R0007,male,22,att,1
hynek,male,25,R0007,male,22,att,2
igor,male,23,R0007,male,22,att,2
ivan,male,27,R0007,male,22,att,2
ivan2,male,27,R0007,male,22,att,1
jan,male,23,R0007,male,22,att,1
josef,male,20,R0007,male,22,att,4
justin,male,19,R0007,male,22,att,1
kamil,male,22,R0007,male,22,att,1
kazimir,male,23,R0007,male,22,att,2
kristian,male,32,R0007,male,22,att,1
lumir,male,20,R0007,male,22,att,3
mike,male,24,R0007,male,22,att,2
mikulas,male,27,R0007,male,22,att,3
milos,male,23,R0007,male,22,att,3
miroslav,male,22,R0007,male,22,att,1
miroslav1,male,27,R0007,male,22,att,2
mojmir,male,20,R0007,male,22,att,2
oldrich,male,31,R0007,male,22,att,1
oleg,male,30,R0007,male,22,att,2
patrik,male,26,R0007,male,22,att,1
petrb,male,27,R0007,male,22,att,2
pravoslav,male,26,R0007,male,22,att,1
rehor,male,20,R0007,male,22,att,2
robin,male,18,R0007,male,22,att,1
rudolf,male,22,R0007,male,22,att,1
slavomir,male,28,R0007,male,22,att,2
stefan,male,22,R0007,male,22,att,1
svatopluk,male,21,R0007,male,22,att,2
tomas,male,22,R0007,male,22,att,2
tomasi,male,19,R0007,male,22,att,3
vincent,male,18,R0007,male,22,att,2
vladislav,male,20,R0007,male,22,att,3
vlastimil,male,23,R0007,male,22,att,1
alex,male,20,R0008,male,28.5,att,2
alexander,male,20,R0008,male,28.5,att,5
alfred,male,30,R0008,male,28.5,att,3
ambroz,male,29,R0008,male,28.5,att,3
arnold,male,26,R0008,male,28.5,att,6
arpad,male,26,R0008,male,28.5,att,6
bedrich,male,19,R0008,male,28.5,att,4
blazej,male,22,R0008,male,28.5,att,3
bretislav,male,30,R0008,male,28.5,att,4
cestmir,male,27,R0008,male,28.5,att,3
ctirad,male,25,R0008,male,28.5,att,2
dalimil,male,26,R0008,male,28.5,att,3
david,male,23,R0008,male,28.5,att,4
frederik,male,32,R0008,male,28.5,att,3
gabriel,male,24,R0008,male,28.5,att,3
herbert,male,23,R0008,male,28.5,att,4
herman,male,33,R0008,male,28.5,att,2
hynek,male,25,R0008,male,28.5,att,3
igor,male,23,R0008,male,28.5,att,3
ivan,male,27,R0008,male,28.5,att,3
ivan2,male,27,R0008,male,28.5,att,3
jan,male,23,R0008,male,28.5,att,3
josef,male,20,R0008,male,28.5,att,3
justin,male,19,R0008,male,28.5,att,5
kamil,male,22,R0008,male,28.5,att,3
kazimir,male,23,R0008,male,28.5,att,3
kristian,male,32,R0008,male,28.5,att,1
lumir,male,20,R0008,male,28.5,att,4
mike,male,24,R0008,male,28.5,att,5
mikulas,male,27,R0008,male,28.5,att,5
milos,male,23,R0008,male,28.5,att,6
miroslav,male,22,R0008,male,28.5,att,3
miroslav1,male,27,R0008,male,28.5,att,3
mojmir,male,20,R0008,male,28.5,att,5
oldrich,male,31,R0008,male,28.5,att,4
oleg,male,30,R0008,male,28.5,att,5
patrik,male,26,R0008,male,28.5,att,3
petrb,male,27,R0008,male,28.5,att,4
pravoslav,male,26,R0008,male,28.5,att,2
rehor,male,20,R0008,male,28.5,att,5
robin,male,18,R0008,male,28.5,att,3
rudolf,male,22,R0008,male,28.5,att,5
slavomir,male,28,R0008,male,28.5,att,3
stefan,male,22,R0008,male,28.5,att,3
svatopluk,male,21,R0008,male,28.5,att,4
tomas,male,22,R0008,male,28.5,att,3
tomasi,male,19,R0008,male,28.5,att,2
vincent,male,18,R0008,male,28.5,att,2
vladislav,male,20,R0008,male,28.5,att,4
vlastimil,male,23,R0008,male,28.5,att,5
alex,male,20,R0009,male,20.6,att,4
alexander,male,20,R0009,male,20.6,att,4
alfred,male,30,R0009,male,20.6,att,5
ambroz,male,29,R0009,male,20.6,att,3
arnold,male,26,R0009,male,20.6,att,4
arpad,male,26,R0009,male,20.6,att,2
bedrich,male,19,R0009,male,20.6,att,4
blazej,male,22,R0009,male,20.6,att,3
bretislav,male,30,R0009,male,20.6,att,5
cestmir,male,27,R0009,male,20.6,att,5
ctirad,male,25,R0009,male,20.6,att,4
dalimil,male,26,R0009,male,20.6,att,4
david,male,23,R0009,male,20.6,att,5
frederik,male,32,R0009,male,20.6,att,3
gabriel,male,24,R0009,male,20.6,att,4
herbert,male,23,R0009,male,20.6,att,5
herman,male,33,R0009,male,20.6,att,5
hynek,male,25,R0009,male,20.6,att,5
igor,male,23,R0009,male,20.6,att,3
ivan,male,27,R0009,male,20.6,att,5
ivan2,male,27,R0009,male,20.6,att,1
jan,male,23,R0009,male,20.6,att,5
josef,male,20,R0009,male,20.6,att,3
justin,male,19,R0009,male,20.6,att,4
kamil,male,22,R0009,male,20.6,att,3
kazimir,male,23,R0009,male,20.6,att,1
kristian,male,32,R0009,male,20.6,att,3
lumir,male,20,R0009,male,20.6,att,4
mike,male,24,R0009,male,20.6,att,6
mikulas,male,27,R0009,male,20.6,att,5
milos,male,23,R0009,male,20.6,att,5
miroslav,male,22,R0009,male,20.6,att,3
miroslav1,male,27,R0009,male,20.6,att,5
mojmir,male,20,R0009,male,20.6,att,3
oldrich,male,31,R0009,male,20.6,att,3
oleg,male,30,R0009,male,20.6,att,5
patrik,male,26,R0009,male,20.6,att,3
petrb,male,27,R0009,male,20.6,att,4
pravoslav,male,26,R0009,male,20.6,att,3
rehor,male,20,R0009,male,20.6,att,6
robin,male,18,R0009,male,20.6,att,2
rudolf,male,22,R0009,male,20.6,att,3
slavomir,male,28,R0009,male,20.6,att,3
stefan,male,22,R0009,male,20.6,att,3
svatopluk,male,21,R0009,male,20.6,att,3
tomas,male,22,R0009,male,20.6,att,3
tomasi,male,19,R0009,male,20.6,att,3
vincent,male,18,R0009,male,20.6,att,2
vladislav,male,20,R0009,male,20.6,att,3
vlastimil,male,23,R0009,male,20.6,att,6
alex,male,20,R0010,male,23.2,att,2
alexander,male,20,R0010,male,23.2,att,4
alfred,male,30,R0010,male,23.2,att,3
ambroz,male,29,R0010,male,23.2,att,2
arnold,male,26,R0010,male,23.2,att,2
arpad,male,26,R0010,male,23.2,att,3
bedrich,male,19,R0010,male,23.2,att,2
blazej,male,22,R0010,male,23.2,att,2
bretislav,male,30,R0010,male,23.2,att,4
cestmir,male,27,R0010,male,23.2,att,4
ctirad,male,25,R0010,male,23.2,att,2
dalimil,male,26,R0010,male,23.2,att,4
david,male,23,R0010,male,23.2,att,3
frederik,male,32,R0010,male,23.2,att,2
gabriel,male,24,R0010,male,23.2,att,5
herbert,male,23,R0010,male,23.2,att,3
herman,male,33,R0010,male,23.2,att,2
hynek,male,25,R0010,male,23.2,att,2
igor,male,23,R0010,male,23.2,att,3
ivan,male,27,R0010,male,23.2,att,3
ivan2,male,27,R0010,male,23.2,att,3
jan,male,23,R0010,male,23.2,att,2
josef,male,20,R0010,male,23.2,att,4
justin,male,19,R0010,male,23.2,att,4
kamil,male,22,R0010,male,23.2,att,3
kazimir,male,23,R0010,male,23.2,att,1
kristian,male,32,R0010,male,23.2,att,2
lumir,male,20,R0010,male,23.2,att,4
mike,male,24,R0010,male,23.2,att,5
mikulas,male,27,R0010,male,23.2,att,3
milos,male,23,R0010,male,23.2,att,5
miroslav,male,22,R0010,male,23.2,att,2
miroslav1,male,27,R0010,male,23.2,att,3
mojmir,male,20,R0010,male,23.2,att,1
oldrich,male,31,R0010,male,23.2,att,2
oleg,male,30,R0010,male,23.2,att,2
patrik,male,26,R0010,male,23.2,att,3
petrb,male,27,R0010,male,23.2,att,4
pravoslav,male,26,R0010,male,23.2,att,2
rehor,male,20,R0010,male,23.2,att,5
robin,male,18,R0010,male,23.2,att,3
rudolf,male,22,R0010,male,23.2,att,4
slavomir,male,28,R0010,male,23.2,att,3
stefan,male,22,R0010,male,23.2,att,2
svatopluk,male,21,R0010,male,23.2,att,3
tomas,male,22,R0010,male,23.2,att,2
tomasi,male,19,R0010,male,23.2,att,2
vincent,male,18,R0010,male,23.2,att,1
vladislav,male,20,R0010,male,23.2,att,3
vlastimil,male,23,R0010,male,23.2,att,4
alex,male,20,R0011,male,23.9,att,5
alexander,male,20,R0011,male,23.9,att,5
alfred,male,30,R0011,male,23.9,att,5
ambroz,male,29,R0011,male,23.9,att,5
arnold,male,26,R0011,male,23.9,att,5
arpad,male,26,R0011,male,23.9,att,7
bedrich,male,19,R0011,male,23.9,att,5
blazej,male,22,R0011,male,23.9,att,6
bretislav,male,30,R0011,male,23.9,att,5
cestmir,male,27,R0011,male,23.9,att,3
ctirad,male,25,R0011,male,23.9,att,7
dalimil,male,26,R0011,male,23.9,att,5
david,male,23,R0011,male,23.9,att,5
frederik,male,32,R0011,male,23.9,att,5
gabriel,male,24,R0011,male,23.9,att,5
herbert,male,23,R0011,male,23.9,att,5
herman,male,33,R0011,male,23.9,att,7
hynek,male,25,R0011,male,23.9,att,3
igor,male,23,R0011,male,23.9,att,7
ivan,male,27,R0011,male,23.9,att,7
ivan2,male,27,R0011,male,23.9,att,4
jan,male,23,R0011,male,23.9,att,7
josef,male,20,R0011,male,23.9,att,5
justin,male,19,R0011,male,23.9,att,4
kamil,male,22,R0011,male,23.9,att,5
kazimir,male,23,R0011,male,23.9,att,5
kristian,male,32,R0011,male,23.9,att,5
lumir,male,20,R0011,male,23.9,att,5
mike,male,24,R0011,male,23.9,att,4
mikulas,male,27,R0011,male,23.9,att,5
milos,male,23,R0011,male,23.9,att,7
miroslav,male,22,R0011,male,23.9,att,7
miroslav1,male,27,R0011,male,23.9,att,7
mojmir,male,20,R0011,male,23.9,att,7
oldrich,male,31,R0011,male,23.9,att,7
oleg,male,30,R0011,male,23.9,att,7
patrik,male,26,R0011,male,23.9,att,5
petrb,male,27,R0011,male,23.9,att,4
pravoslav,male,26,R0011,male,23.9,att,5
rehor,male,20,R0011,male,23.9,att,5
robin,male,18,R0011,male,23.9,att,7
rudolf,male,22,R0011,male,23.9,att,7
slavomir,male,28,R0011,male,23.9,att,2
stefan,male,22,R0011,male,23.9,att,4
svatopluk,male,21,R0011,male,23.9,att,5
tomas,male,22,R0011,male,23.9,att,7
tomasi,male,19,R0011,male,23.9,att,5
vincent,male,18,R0011,male,23.9,att,5
vladislav,male,20,R0011,male,23.9,att,5
vlastimil,male,23,R0011,male,23.9,att,1
alex,male,20,R0012,male,21.4,att,3
alexander,male,20,R0012,male,21.4,att,7
alfred,male,30,R0012,male,21.4,att,1
ambroz,male,29,R0012,male,21.4,att,1
arnold,male,26,R0012,male,21.4,att,5
arpad,male,26,R0012,male,21.4,att,5
bedrich,male,19,R0012,male,21.4,att,5
blazej,male,22,R0012,male,21.4,att,2
bretislav,male,30,R0012,male,21.4,att,6
cestmir,male,27,R0012,male,21.4,att,2
ctirad,male,25,R0012,male,21.4,att,2
dalimil,male,26,R0012,male,21.4,att,6
david,male,23,R0012,male,21.4,att,7
frederik,male,32,R0012,male,21.4,att,4
gabriel,male,24,R0012,male,21.4,att,5
herbert,male,23,R0012,male,21.4,att,4
herman,male,33,R0012,male,21.4,att,1
hynek,male,25,R0012,male,21.4,att,3
igor,male,23,R0012,male,21.4,att,2
ivan,male,27,R0012,male,21.4,att,3
ivan2,male,27,R0012,male,21.4,att,4
jan,male,23,R0012,male,21.4,att,1
josef,male,20,R0012,male,21.4,att,3
justin,male,19,R0012,male,21.4,att,4
kamil,male,22,R0012,male,21.4,att,1
kazimir,male,23,R0012,male,21.4,att,2
kristian,male,32,R0012,male,21.4,att,1
lumir,male,20,R0012,male,21.4,att,4
mike,male,24,R0012,male,21.4,att,5
mikulas,male,27,R0012,male,21.4,att,5
milos,male,23,R0012,male,21.4,att,6
miroslav,male,22,R0012,male,21.4,att,2
miroslav1,male,27,R0012,male,21.4,att,1
mojmir,male,20,R0012,male,21.4,att,5
oldrich,male,31,R0012,male,21.4,att,1
oleg,male,30,R0012,male,21.4,att,4
patrik,male,26,R0012,male,21.4,att,2
petrb,male,27,R0012,male,21.4,att,3
pravoslav,male,26,R0012,male,21.4,att,1
rehor,male,20,R0012,male,21.4,att,2
robin,male,18,R0012,male,21.4,att,2
rudolf,male,22,R0012,male,21.4,att,5
slavomir,male,28,R0012,male,21.4,att,6
stefan,male,22,R0012,male,21.4,att,1
svatopluk,male,21,R0012,male,21.4,att,6
tomas,male,22,R0012,male,21.4,att,3
tomasi,male,19,R0012,male,21.4,att,2
vincent,male,18,R0012,male,21.4,att,1
vladislav,male,20,R0012,male,21.4,att,7
vlastimil,male,23,R0012,male,21.4,att,5
alex,male,20,R0013,male,27.9,att,2
alexander,male,20,R0013,male,27.9,att,5
alfred,male,30,R0013,male,27.9,att,3
ambroz,male,29,R0013,male,27.9,att,4
arnold,male,26,R0013,male,27.9,att,2
arpad,male,26,R0013,male,27.9,att,6
bedrich,male,19,R0013,male,27.9,att,4
blazej,male,22,R0013,male,27.9,att,3
bretislav,male,30,R0013,male,27.9,att,6
cestmir,male,27,R0013,male,27.9,att,4
ctirad,male,25,R0013,male,27.9,att,4
dalimil,male,26,R0013,male,27.9,att,3
david,male,23,R0013,male,27.9,att,5
frederik,male,32,R0013,male,27.9,att,3
gabriel,male,24,R0013,male,27.9,att,4
herbert,male,23,R0013,male,27.9,att,2
herman,male,33,R0013,male,27.9,att,1
hynek,male,25,R0013,male,27.9,att,3
igor,male,23,R0013,male,27.9,att,2
ivan,male,27,R0013,male,27.9,att,6
ivan2,male,27,R0013,male,27.9,att,3
jan,male,23,R0013,male,27.9,att,3
josef,male,20,R0013,male,27.9,att,2
justin,male,19,R0013,male,27.9,att,5
kamil,male,22,R0013,male,27.9,att,4
kazimir,male,23,R0013,male,27.9,att,2
kristian,male,32,R0013,male,27.9,att,1
lumir,male,20,R0013,male,27.9,att,3
mike,male,24,R0013,male,27.9,att,6
mikulas,male,27,R0013,male,27.9,att,5
